,original_date,update_date,county_city,originating_agency,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num,subject,priority,worked_by,overall_status,assignment_status,assigned_to,original_dt,update_dt,subject_split,subject_std
0,03/01/202011:22:14,03/21/202016:26:15,KingShoreline,WA DOH,DOH030120.08,WA­20203111318,,"Staffing,Shoreline,Lead Planner",IncidentStabilization,County,Accepted,Assigned,Planning Section,2020-03-01,2020-03-21,"staffing,shoreline,lead planner",Staffing
1,03/18/202018:10:51,03/21/202016:26:14,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031818193Kitsap ­032KCSO,WA­202031818193,,Masks / Wipes/ Gowns /Gloves /Sanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,masks,Masks
1,03/18/202018:10:51,03/21/202016:26:14,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031818193Kitsap ­032KCSO,WA­202031818193,,Masks / Wipes/ Gowns /Gloves /Sanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,wipes,Disinfectant/Sanitizer
1,03/18/202018:10:51,03/21/202016:26:14,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031818193Kitsap ­032KCSO,WA­202031818193,,Masks / Wipes/ Gowns /Gloves /Sanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,gowns,Gowns
1,03/18/202018:10:51,03/21/202016:26:14,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031818193Kitsap ­032KCSO,WA­202031818193,,Masks / Wipes/ Gowns /Gloves /Sanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,gloves,Gloves
1,03/18/202018:10:51,03/21/202016:26:14,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031818193Kitsap ­032KCSO,WA­202031818193,,Masks / Wipes/ Gowns /Gloves /Sanitizer,IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,sanitizer,Disinfectant/Sanitizer
2,03/11/202014:03:55,03/21/202016:26:14,KingRedmond,RedmondCare andRehabilitationCenter,PH­202031114729PH­202031114729,WA­202031114729,,"Mask,Procedure /Goggles,Safety /Gown,Disposable",IncidentStabilization,County,Accepted,Assigned,Logistics Section,2020-03-11,2020-03-21,"mask,procedure",Masks
2,03/11/202014:03:55,03/21/202016:26:14,KingRedmond,RedmondCare andRehabilitationCenter,PH­202031114729PH­202031114729,WA­202031114729,,"Mask,Procedure /Goggles,Safety /Gown,Disposable",IncidentStabilization,County,Accepted,Assigned,Logistics Section,2020-03-11,2020-03-21,"goggles,safety",Goggles/Glasses
2,03/11/202014:03:55,03/21/202016:26:14,KingRedmond,RedmondCare andRehabilitationCenter,PH­202031114729PH­202031114729,WA­202031114729,,"Mask,Procedure /Goggles,Safety /Gown,Disposable",IncidentStabilization,County,Accepted,Assigned,Logistics Section,2020-03-11,2020-03-21,"gown,disposable",Gowns
3,03/18/202012:40:30,03/21/202016:26:05,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031812392Kitsap ­029NWHRN,WA­202031812392,,"Mask, N95, /50 / PPE forTier 3 /HealthcareProvider",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"mask, n95,",Masks
3,03/18/202012:40:30,03/21/202016:26:05,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031812392Kitsap ­029NWHRN,WA­202031812392,,"Mask, N95, /50 / PPE forTier 3 /HealthcareProvider",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,50,
3,03/18/202012:40:30,03/21/202016:26:05,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031812392Kitsap ­029NWHRN,WA­202031812392,,"Mask, N95, /50 / PPE forTier 3 /HealthcareProvider",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,ppe fortier 3,PPE
3,03/18/202012:40:30,03/21/202016:26:05,KitsapBremerton,Kitsap CountyDept ofEmergencyMgt,WA­202031812392Kitsap ­029NWHRN,WA­202031812392,,"Mask, N95, /50 / PPE forTier 3 /HealthcareProvider",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,healthcareprovider,
4,03/07/202012:27:41,03/21/202016:26:05,KingSeattle,EmeraldHeights,PH­20203712988PH­20203712988,WA­20203712988,,"gown,procedure /mask /goggles",IncidentStabilization,County,Accepted,Assigned,Logistics Section,2020-03-07,2020-03-21,"gown,procedure",Gowns
4,03/07/202012:27:41,03/21/202016:26:05,KingSeattle,EmeraldHeights,PH­20203712988PH­20203712988,WA­20203712988,,"gown,procedure /mask /goggles",IncidentStabilization,County,Accepted,Assigned,Logistics Section,2020-03-07,2020-03-21,mask,Masks
4,03/07/202012:27:41,03/21/202016:26:05,KingSeattle,EmeraldHeights,PH­20203712988PH­20203712988,WA­20203712988,,"gown,procedure /mask /goggles",IncidentStabilization,County,Accepted,Assigned,Logistics Section,2020-03-07,2020-03-21,goggles,Goggles/Glasses
5,03/18/202011:56:52,03/21/202016:26:04,GraysHarborWestport,WestportPolice Dept.,0003GHC037,WA­202031811195,,"Gloves, nitrilegloves,XL/Black",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,"gloves, nitrilegloves,xl",Gloves
5,03/18/202011:56:52,03/21/202016:26:04,GraysHarborWestport,WestportPolice Dept.,0003GHC037,WA­202031811195,,"Gloves, nitrilegloves,XL/Black",IncidentStabilization,County,Assigned,Assigned,Logistics Section,2020-03-18,2020-03-21,black,
6,03/20/202012:26:47,03/23/202008:32:56,SnohomishArlington,CascadeValley SeniorLiving­SHD/BULKMed T3,SnoCo­202032012435,WA­202032012435,,"Gown, disposable",IncidentStabilization,County,Assigned,,,2020-03-20,2020-03-23,"gown, disposable",Gowns
7,03/23/202008:17:15,03/23/202008:24:11,SnohomishStanwood,JosephineCaringCommunity­SHD,1239Snoco­2020323821,WA­2020323821,,"Mask, N95",IncidentStabilization,County,Accepted,,,2020-03-23,2020-03-23,"mask, n95",Masks
