,original_dt,update_dt,agency,county,city,subject,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
0,2020-03-01,2020-03-21,WA State DOH,King,Shoreline,"Staffing, Shoreline, Lead Planner",Incident Stabilization,County,Accepted,Assigned,Planning Section,DOH 030120.08,WA­ 20203111318,
1,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,Masks / Wipes / Gowns / Gloves / Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031818193 Kitsap ­ 032KCSO,WA­ 202031818193,
2,2020-03-11,2020-03-21,Redmond Care and Rehabilitation Center,King,Redmond,"Mask, Procedure / Goggles, Safety / Gown, Disposable",Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 202031114729 PH­ 202031114729,WA­ 202031114729,
3,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"Mask, N95, / 50 / PPE for Tier 3 / Healthcare Provider",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812392 Kitsap ­ 029NWHRN,WA­ 202031812392,
4,2020-03-07,2020-03-21,Emerald Heights,King,Seattle,"gown, procedure / mask / goggles",Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203712988 PH­ 20203712988,WA­ 20203712988,
5,2020-03-18,2020-03-21,Westport Police Dept.,Grays,Harbor Westport,"Gloves, nitrile gloves, XL/Black",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0003 GHC037,WA­ 202031811195,
6,2020-03-20,2020-03-23,Cascade Valley Senior Living­ SHD/BULK Med T3,Snohomish,Arlington,"Gown, disposable",Incident Stabilization,County,Assigned,,,SnoCo­ 202032012435,WA­ 202032012435,
7,2020-03-23,2020-03-23,Josephine Caring Community­ SHD,Snohomish,Stanwood,"Mask, N95",Incident Stabilization,County,Accepted,,,1239 Snoco­ 2020323821,WA­ 2020323821,
8,2020-03-17,2020-03-23,Columbia County Fire District #3,Columbia,Dayton,"Mask, N95, Large / Mask, Procedure, Large / Gown, Disposable, Large",Incident Stabilization,County,Assigned,In Transit,Logistics Section,WA­ 20203179243 CFD3 01,WA­ 20203179243,
9,2020-03-12,2020-03-23,Columbia County Public Hospital District #1,Columbia,Dayton,"Shield, Face / Mask, Procedure",Incident Stabilization,County,Assigned,In Transit,Logistics Section,2020/0256/01 2020/0256/01,WA­ 2020312867,
10,2020-03-18,2020-03-23,Cowlitz Family Health Center,Cowlitz,Longview,Medical protective equipment/supplies,Incident Stabilization,County,Unassigned,,,DEM­017,WA­ 202031812595,
