,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
0,2020-03-01,2020-03-21,WA State DOH,King,Shoreline,"staffing, shoreline, lead planner",Staffing,Incident Stabilization,County,Accepted,Assigned,Planning Section,DOH 030120.08,WA­ 20203111318,
1,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031818193 Kitsap ­ 032KCSO,WA­ 202031818193,
1,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031818193 Kitsap ­ 032KCSO,WA­ 202031818193,
1,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,gowns,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031818193 Kitsap ­ 032KCSO,WA­ 202031818193,
1,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,gloves,Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031818193 Kitsap ­ 032KCSO,WA­ 202031818193,
1,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031818193 Kitsap ­ 032KCSO,WA­ 202031818193,
2,2020-03-11,2020-03-21,Redmond Care and Rehabilitation Center,King,Redmond,"mask, procedure",Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 202031114729 PH­ 202031114729,WA­ 202031114729,
2,2020-03-11,2020-03-21,Redmond Care and Rehabilitation Center,King,Redmond,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 202031114729 PH­ 202031114729,WA­ 202031114729,
2,2020-03-11,2020-03-21,Redmond Care and Rehabilitation Center,King,Redmond,"gown, disposable",Gowns,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 202031114729 PH­ 202031114729,WA­ 202031114729,
3,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"mask, n95,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812392 Kitsap ­ 029NWHRN,WA­ 202031812392,
3,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,50,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812392 Kitsap ­ 029NWHRN,WA­ 202031812392,
3,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,ppe for tier 3,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812392 Kitsap ­ 029NWHRN,WA­ 202031812392,
3,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,healthcare provider,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812392 Kitsap ­ 029NWHRN,WA­ 202031812392,
4,2020-03-07,2020-03-21,Emerald Heights,King,Seattle,"gown, procedure",Gowns,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203712988 PH­ 20203712988,WA­ 20203712988,
4,2020-03-07,2020-03-21,Emerald Heights,King,Seattle,mask,Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203712988 PH­ 20203712988,WA­ 20203712988,
4,2020-03-07,2020-03-21,Emerald Heights,King,Seattle,goggles,Goggles/Glasses,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203712988 PH­ 20203712988,WA­ 20203712988,
5,2020-03-18,2020-03-21,Westport Police Dept.,Grays,Harbor Westport,"gloves, nitrile gloves, xl",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,0003 GHC037,WA­ 202031811195,
5,2020-03-18,2020-03-21,Westport Police Dept.,Grays,Harbor Westport,black,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,0003 GHC037,WA­ 202031811195,
6,2020-03-20,2020-03-23,Cascade Valley Senior Living­ SHD/BULK Med T3,Snohomish,Arlington,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,,,SnoCo­ 202032012435,WA­ 202032012435,
7,2020-03-23,2020-03-23,Josephine Caring Community­ SHD,Snohomish,Stanwood,"mask, n95",Masks,Incident Stabilization,County,Accepted,,,1239 Snoco­ 2020323821,WA­ 2020323821,
8,2020-03-17,2020-03-23,Columbia County Fire District #3,Columbia,Dayton,"mask, n95, large",Masks,Incident Stabilization,County,Assigned,In Transit,Logistics Section,WA­ 20203179243 CFD3 01,WA­ 20203179243,
8,2020-03-17,2020-03-23,Columbia County Fire District #3,Columbia,Dayton,"mask, procedure, large",Masks,Incident Stabilization,County,Assigned,In Transit,Logistics Section,WA­ 20203179243 CFD3 01,WA­ 20203179243,
8,2020-03-17,2020-03-23,Columbia County Fire District #3,Columbia,Dayton,"gown, disposable, large",Gowns,Incident Stabilization,County,Assigned,In Transit,Logistics Section,WA­ 20203179243 CFD3 01,WA­ 20203179243,
9,2020-03-12,2020-03-23,Columbia County Public Hospital District #1,Columbia,Dayton,"shield, face",Face Shield,Incident Stabilization,County,Assigned,In Transit,Logistics Section,2020/0256/01 2020/0256/01,WA­ 2020312867,
9,2020-03-12,2020-03-23,Columbia County Public Hospital District #1,Columbia,Dayton,"mask, procedure",Masks,Incident Stabilization,County,Assigned,In Transit,Logistics Section,2020/0256/01 2020/0256/01,WA­ 2020312867,
10,2020-03-18,2020-03-23,Cowlitz Family Health Center,Cowlitz,Longview,medical protective equipment,Protective Equipment,Incident Stabilization,County,Unassigned,,,DEM­017,WA­ 202031812595,
10,2020-03-18,2020-03-23,Cowlitz Family Health Center,Cowlitz,Longview,supplies,,Incident Stabilization,County,Unassigned,,,DEM­017,WA­ 202031812595,
11,2020-03-13,2020-03-23,WA State DOH,Thurston,Tumwater,"staffing, tumwater, data entry specialist",Staffing,Incident Stabilization,State,Assigned,Assigned Completed,Planning Section Logistics Section,DOH­T 0313.19 WA­ 202031318843,WA­ 202031318843,
12,2020-03-05,2020-03-23,South County Fire and Rescue,Snohomish,Everett,"gown, surgical",Gowns,Incident Stabilization,County,Accepted,Completed,Logistics Section,Snoco­ 20203510900,WA­ 20203510900,
12,2020-03-05,2020-03-23,South County Fire and Rescue,Snohomish,Everett,gloves,Gloves,Incident Stabilization,County,Accepted,Completed,Logistics Section,Snoco­ 20203510900,WA­ 20203510900,
13,2020-03-13,2020-03-23,Snohomish County Medical Examiner,Snohomish,Everett,"mask,isolation",Masks,Incident Stabilization,County,Completed,Assigned Completed,Logistics Section Movement Coordination,SNOCO ­ 20203131498 WA­ 20203131498,WA­ 20203131498,
14,2020-03-05,2020-03-21,Pasco Fire Department,Franklin,Pasco,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,,FC­03052020­ 001 FC­CORONA­ 001,WA­ 20203514337,
14,2020-03-05,2020-03-21,Pasco Fire Department,Franklin,Pasco,"glasses, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,,FC­03052020­ 001 FC­CORONA­ 001,WA­ 20203514337,
15,2020-03-11,2020-03-21,KCFMD,King,Renton,rolling racks,,,County,Completed,Accepted,,KC­ 20203118126,WA­ 20203118126,
16,2020-03-16,2020-03-21,Jefferson County Sheriff,Jefferson,Port Hadlock,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,,JCSO31620­1 200256,WA­ 202031617476,
17,2020-03-13,2020-03-21,Mason General Hospital,Mason,Shelton,swab,SWABS,Incident Stabilization,County,Assigned,Assigned,,20­0265­004,WA­ 202031313476,
17,2020-03-13,2020-03-21,Mason General Hospital,Mason,Shelton,transport media,,Incident Stabilization,County,Assigned,Assigned,,20­0265­004,WA­ 202031313476,
18,2020-03-13,2020-03-21,Conventry House Assisted Living,Adams,Othello,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,,WA­ 202031316867,WA­ 202031316867,
19,2020-03-16,2020-03-21,East Jefferson County Fire,Jefferson,Port Townsend,patient transport ventilator,,Incident Stabilization,County,Assigned,Assigned,,EJFR31620 200256,WA­ 202031617927,
20,2020-03-21,2020-03-21,Mason County PUD #1,Mason,Shelton,"wipes, disinfectant",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,,WA­ 202032112158 20­0265­005,WA­ 202032112158,
20,2020-03-21,2020-03-21,Mason County PUD #1,Mason,Shelton,"gloves, latex",Gloves,Incident Stabilization,County,Assigned,Assigned,,WA­ 202032112158 20­0265­005,WA­ 202032112158,
20,2020-03-21,2020-03-21,Mason County PUD #1,Mason,Shelton,"paper, towels & toilet paper",,Incident Stabilization,County,Assigned,Assigned,,WA­ 202032112158 20­0265­005,WA­ 202032112158,
20,2020-03-21,2020-03-21,Mason County PUD #1,Mason,Shelton,isopropyl alcohol,,Incident Stabilization,County,Assigned,Assigned,,WA­ 202032112158 20­0265­005,WA­ 202032112158,
21,2020-03-09,2020-03-21,Columbia Basin Health Association,Adams,Othello,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,,ACEM 20­ 0001 ACEM 20­ 0001,WA­ 20203916184,
22,2020-02-03,2020-03-21,WA DOH Lab,King,Shoreline,quarantine specialists,,Incident Stabilization,State,Cancelled,,,NCOV0240,WA­ 20202318133,
23,2020-03-14,2020-03-21,Lutheran Community Services NW,Pierce,Tacoma,face masks,Masks,Incident Stabilization,County,Unassigned,,,29301,WA­ 20203141526,
24,2020-03-14,2020-03-21,PHSKC,King,Kirkland,hand sanitizer; gowns; face masks (don't remove: rr 274),Masks,Incident Stabilization,City,Accepted,,,PH­ 202031416335 PH­ 202031416335,WA­ 202031416335,
25,2020-03-21,2020-03-21,Mark Douglas,Pierce,Lakewood,advisers and im ops,,Incident Stabilization,State,Assigned,Assigned,,­,WA­ 202032114977,
26,2020-02-18,2020-03-21,PHSKC,King,Seattle,desk and chair for dawn,,,City,Assigned,Accepted,,126 WA­ 20203613279,WA­ 202021811851,
27,2020-03-10,2020-03-21,DSHS,Spokane,Spokane,"surgical masks, n95 niosh one size",Masks,Incident Stabilization,State,Cancelled,Cancelled,,DSHS­0004,WA­ 202031013134,
28,2020-03-02,2020-03-21,Mission Healthcare of Bellevue,King,Bellevue,mask,Masks,,County,Assigned,Assigned,,TBD,WA­ 20203210719,
29,2020-03-06,2020-03-21,Department of Health,Thurston,Tumwater,"mask, n95, small",Masks,Incident Stabilization,State,Accepted,Accepted,,WA­ 20203613124 ­,WA­ 20203613124,
30,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,"mask, n95",Masks,Incident Stabilization,County,Assigned,In Transit,,HF­005,WA­ 20203410703,
31,2020-03-12,2020-03-21,Kline Galland,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­202031211382 WA­ 202031211382,WA­ 202031211382,
32,2020-03-10,2020-03-21,King County Emergency Management,King,Renton,shelter partial privacy screens,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­202031011239,WA­ 202031011239,
33,2020-03-13,2020-03-21,Northwest Kidney Centers,King,SeaTac,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031317719/KC­ 202031317719 WA­ 202031317719,WA­ 202031317719,
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"suit, tyvek",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"booties, disposable",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"glasses, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
34,2020-03-12,2020-03-21,Issaquah Police Department,King,Issaquah,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Iss­200265­001 Iss­200265­001,WA­ 202031210256,
